concept_id,entity,attribute,display_name,description,data_type,aliases
supplier_invoice.amount,supplier_invoice,amount,Supplier Invoice Amount,Total monetary amount on a supplier invoice.,decimal,"supplier invoice amount, vendor invoice amount, ap invoice amount"
supplier_invoice.document_date,supplier_invoice,document_date,Supplier Invoice Document Date,Business issue date of the supplier invoice.,date,"supplier invoice date, vendor invoice date, invoice document date"
supplier_invoice.id,supplier_invoice,id,Supplier Invoice ID,Identifier for a supplier invoice or vendor bill.,string,"supplier invoice id, vendor invoice number, ap invoice number"
supplier_invoice.posting_date,supplier_invoice,posting_date,Supplier Invoice Posting Date,Date on which the supplier invoice is posted to accounting.,date,"supplier invoice posting date, vendor invoice posting date, accounting posting date"
supplier_lead_time.days,supplier_lead_time,days,Supplier Lead Time Days,Expected number of days between ordering from a supplier and receipt.,decimal,"supplier lead time, vendor lead time, procurement lead time, planned delivery time"
supplier_scorecard.delivery_rating,supplier_scorecard,delivery_rating,Supplier Delivery Rating,Score or rating measuring supplier delivery performance.,decimal,"supplier delivery rating, vendor delivery score, on time delivery rating"
supplier_scorecard.quality_rating,supplier_scorecard,quality_rating,Supplier Quality Rating,Score or rating measuring supplier quality performance.,decimal,"supplier quality rating, vendor quality score, quality scorecard rating"
supply_plan.id,supply_plan,id,Supply Plan ID,Identifier for a supply plan or planning scenario.,string,"supply plan id, supply planning plan id, supply scenario id"
supply_plan.planned_quantity,supply_plan,planned_quantity,Supply Plan Planned Quantity,"Planned supply quantity for a product, location, or planning bucket.",decimal,"planned supply quantity, supply plan quantity, planned receipt quantity"
supply_plan.status,supply_plan,status,Supply Plan Status,"Lifecycle status of a supply plan such as draft, approved, or published.",string,"supply plan status, supply planning status, planning scenario status"
supply_plan.version,supply_plan,version,Supply Plan Version,Version or scenario identifier for a supply plan.,string,"supply plan version, supply scenario, planning version"
tax.id,tax,id,Tax Registration ID,Tax registration identifier for a business party when party role is not further specified; prefer customer/vendor/company tax registration concepts when available.,string,"tax registration id, tax registration number, vat number, fiscal code"
tax.jurisdiction_code,tax,jurisdiction_code,Tax Jurisdiction Code,Code representing the tax jurisdiction used for tax determination.,string,"tax jurisdiction code, sales tax jurisdiction, tax area code"
tax.rate,tax,rate,Tax Rate,Percentage of tax applied,decimal,"tax rate, vat rate, tax percentage, tax pct"
territory.id,territory,id,Territory ID,Identifier for a sales or service territory.,string,"territory id, sales territory id, region id"
territory.name,territory,name,Territory Name,Name of a sales or service territory.,string,"territory name, sales territory name, region name"
ticket.id,ticket,id,Ticket ID,Identifier for a support or service request,string,"ticket id, ticket number, case id, service request id"
timesheet.hours,timesheet,hours,Hours Worked,Number of hours recorded on a timesheet or time card.,decimal,"timesheet hours, hours worked, logged hours, recorded hours"
timesheet.id,timesheet,id,Timesheet ID,Identifier for a time tracking record,string,"timesheet id, timesheet number, time card id, cats record"
training.completion_date,training,completion_date,Training Completion Date,Date when an employee completed training.,date,"training completion date, course completion date, learning completion date"
training.course_id,training,course_id,Training Course ID,Identifier for a training course or learning item.,string,"training course id, learning course id, course code"
transportation_mode.code,transportation_mode,code,Transportation Mode Code,"Code for transportation mode such as road, rail, air, ocean, or parcel.",string,"transportation mode, transport mode code, shipping mode, freight mode"
transportation_mode.name,transportation_mode,name,Transportation Mode Name,Descriptive name of a transportation mode.,string,"transportation mode name, shipping mode name, freight mode name"
base_uom.code,uom,base_uom_code,Base Unit of Measure,Base unit of measure assigned to a material master record.,string,"base unit of measure, base uom, material base uom"
uom.code,uom,code,Unit of Measure,Standard unit of measure code. Use base unit of measure when the source field explicitly represents base UoM.,string,"unit of measure code, uom code"
vendor.bank_account_id,vendor,bank_account_id,Vendor Bank Account ID,Bank account used for vendor payments.,string,"vendor bank account, supplier bank account id, payment bank account"
vendor.classification,vendor,classification,Vendor Classification,Business classification or segmentation of a vendor.,string,"vendor classification, supplier classification, supplier tier, vendor category"
vendor.email,vendor,email,Vendor Email,Primary vendor email address,string,"vendor email, supplier email"
vendor.id,vendor,id,Vendor ID,Stable identifier for a vendor or supplier,string,"vendor id, vendor identifier, vendor number, supplier id, supplier number"
vendor.name,vendor,name,Vendor Name,Display or legal name of the vendor,string,"vendor name, supplier name"
vendor.payment_terms_id,vendor,payment_terms_id,Vendor Payment Terms ID,Payment terms assigned to a vendor or supplier.,string,"vendor payment terms, supplier payment terms, pay terms id, zterm"
vendor.status,vendor,status,Vendor Status,Lifecycle or activity status of a vendor or supplier.,string,"vendor status, supplier status, supplier lifecycle status, blocked flag"
vendor.supplier_site_id,vendor,supplier_site_id,Supplier Site ID,"Identifier for a supplier site or supplier location used for ordering, remittance, or fulfillment.",string,"supplier site id, vendor site id, supplier location id, vendor location id"
vendor.tax_registration_id,vendor,tax_registration_id,Vendor Tax Registration ID,Tax registration identifier for a vendor or supplier.,string,"vendor tax registration id, supplier tax registration id, vendor vat number, supplier vat number"
vendor_group.id,vendor_group,id,Vendor Group,Classification for a set of suppliers,string,"vendor group, supplier group, vendor category, ktokk"
warehouse.id,warehouse,id,Warehouse ID,"Identifier for a warehouse. Not equivalent to plant, work location, or generic facility unless source context confirms warehouse semantics.",string,"warehouse id, warehouse code, whse id"
warehouse_bin.id,warehouse_bin,id,Warehouse Bin,Bin-level physical storage location within a warehouse.,string,"warehouse bin id, bin location id, storage bin, warehouse storage bin, lgpbe"
warehouse_task.id,warehouse_task,id,Warehouse Task ID,"Identifier for a warehouse execution task such as pick, putaway, replenish, or count.",string,"warehouse task id, warehouse order task, wh task id"
warehouse_task.status,warehouse_task,status,Warehouse Task Status,Current execution state of a warehouse task.,string,"warehouse task status, task status, warehouse execution status"
warehouse_task.type,warehouse_task,type,Warehouse Task Type,"Type of warehouse task such as picking, putaway, replenishment, movement, or cycle count.",string,"warehouse task type, warehouse activity type, task type"
work_center.id,work_center,id,Work Center ID,Identifier for a production or work station,string,"work center id, work center, production work center, arbpl"
work_order.id,work_order,id,Work Order ID,Identifier for a production task on the shop floor,string,"work order id, work order number, production order id"
work_schedule.hours_per_week,work_schedule,hours_per_week,Scheduled Hours per Week,Number of scheduled working hours per week.,decimal,"scheduled hours, weekly hours, standard hours per week"
work_schedule.id,work_schedule,id,Work Schedule ID,Identifier for an employee work schedule or shift pattern.,string,"work schedule id, shift schedule id, schedule code"
workflow.instance_id,workflow,instance_id,Workflow Instance ID,Identifier for a workflow process instance.,string,"workflow instance id, process instance id, workflow id"
workflow.step,workflow,step,Workflow Step,Current or completed step in a workflow process.,string,"workflow step, approval step, process step"
